aX,aY,aZ,gX,gY,gZ
-0.112,0.025,1.008,-12.756,-0.671,8.362
-0.096,0.029,0.999,-10.742,-0.305,7.812
-0.063,0.055,0.978,-8.728,-0.549,3.967
-0.064,0.067,0.996,-5.005,-2.380,-1.160
-0.079,0.046,1.000,-1.587,-3.906,-5.127
-0.096,0.011,1.008,3.357,-3.906,-6.348
-0.115,-0.018,1.003,5.066,-2.441,-5.249
-0.120,-0.038,0.959,0.183,0.183,-4.578
-0.123,-0.047,0.882,-7.141,2.808,-3.113
-0.138,-0.042,0.822,-11.963,4.333,-0.549
-0.156,-0.027,0.771,-16.113,0.916,2.075
-0.163,-0.004,0.733,-22.522,-1.160,4.883
-0.155,0.019,0.721,-25.024,-3.174,7.080
-0.150,0.026,0.766,-21.606,-6.592,9.155
-0.138,0.029,0.818,-18.921,-9.644,10.315
-0.140,0.015,0.896,-16.479,-8.606,9.155
-0.126,0.016,0.943,-15.381,-8.667,6.775
-0.112,0.016,0.957,-10.071,-10.559,5.005
-0.105,-0.007,0.972,-2.625,-11.475,2.991
-0.112,-0.024,1.002,2.441,-12.085,2.197
-0.095,-0.036,1.004,3.723,-11.414,2.502
-0.082,-0.039,0.990,2.686,-12.085,1.404
-0.077,-0.036,0.981,0.183,-12.695,1.709
-0.074,-0.036,0.984,-2.136,-12.268,2.502
-0.076,-0.033,0.995,-5.310,-10.925,4.089
-0.068,-0.021,0.984,-12.207,-8.423,3.845
-0.072,-0.016,0.968,-16.418,-7.202,4.700
-0.069,-0.015,0.973,-18.127,-4.578,6.531
-0.070,-0.013,0.986,-20.508,0.366,10.071
-0.063,-0.016,0.960,-22.461,5.798,11.047
-0.064,-0.012,0.948,-20.569,7.935,10.925
-0.078,-0.040,0.936,-11.169,12.146,10.437
-0.119,-0.062,0.947,-6.714,16.418,5.005
-0.119,-0.049,0.916,-7.690,13.123,6.165
-0.113,-0.051,0.858,-7.690,8.484,5.127
-0.135,-0.042,0.855,-5.676,1.892,3.418
-0.123,-0.050,0.847,-5.066,-1.099,4.822
-0.121,-0.058,0.868,-5.188,-4.456,5.066
-0.119,-0.066,0.910,-8.911,-9.460,6.348

-0.157,-0.170,3.371,86.426,-55.847,-28.870
-0.206,-0.240,3.470,93.384,-47.119,-30.029
-0.235,-0.329,3.442,102.600,-28.442,-32.227
-0.189,-0.367,3.178,119.385,-3.296,-32.166
-0.104,-0.375,2.806,135.864,25.330,-29.358
0.021,-0.339,2.438,146.423,45.105,-23.743
0.046,-0.369,2.122,144.165,59.998,-18.005
0.021,-0.314,1.840,134.583,72.021,-14.893
0.004,-0.187,1.493,132.324,75.806,-15.076
0.009,-0.069,1.171,147.034,77.637,-13.977
0.044,0.050,0.849,162.048,65.613,-18.066
0.089,0.076,0.506,170.166,50.354,-21.240
0.083,0.009,0.187,163.086,29.541,-28.687
0.050,-0.137,-0.108,149.963,12.512,-30.518
-0.005,-0.306,-0.344,135.254,-4.822,-29.053
-0.062,-0.439,-0.473,111.572,-24.292,-19.531
-0.095,-0.503,-0.541,73.792,-24.475,-5.249
-0.101,-0.513,-0.502,33.691,-12.146,-1.892
-0.069,-0.352,-0.390,5.615,-5.127,-9.827
0.009,-0.132,-0.383,-6.775,-5.371,-17.944
0.038,0.000,-0.408,0.610,-10.620,-28.198
0.026,0.031,-0.405,10.864,-12.146,-39.063
-0.020,0.000,-0.375,19.897,-12.878,-46.509
-0.078,-0.058,-0.365,28.809,-13.855,-50.049
-0.088,-0.104,-0.348,33.875,-15.320,-47.913
-0.120,-0.141,-0.285,35.217,-18.433,-41.077
-0.119,-0.151,-0.216,29.358,-20.142,-30.518
-0.082,-0.105,-0.148,14.465,-20.081,-19.104
-0.058,-0.054,-0.024,-0.244,-19.165,-9.888
-0.033,0.007,0.137,-5.554,-13.489,-1.282
0.011,0.087,0.262,-5.310,-7.446,6.104
0.046,0.125,0.360,-6.470,-0.732,17.517
0.056,0.207,0.454,-11.475,2.014,23.193
0.060,0.282,0.534,-16.296,5.249,27.710
0.061,0.330,0.571,-22.461,8.057,25.269
0.032,0.383,0.586,-24.231,6.531,17.639
-0.028,0.397,0.584,-22.278,2.747,8.850
-0.062,0.368,0.522,-18.616,-2.686,4.395
-0.086,0.305,0.482,-12.451,-8.301,1.953
-0.084,0.287,0.516,-7.996,-16.541,2.747
-0.080,0.260,0.627,-7.629,-21.545,6.775
