aX,aY,aZ,gX,gY,gZ
-0.107,-0.074,0.846,-10.010,-11.108,49.927
-0.119,-0.104,0.860,-10.742,-13.733,49.622
-0.137,-0.142,0.883,-13.489,-10.010,49.438
-0.135,-0.162,0.878,-18.799,-4.700,49.561
-0.114,-0.151,0.858,-22.583,-3.967,49.255
-0.102,-0.135,0.828,-23.254,-5.127,48.523
-0.104,-0.122,0.825,-23.071,-4.761,47.302
-0.113,-0.117,0.825,-22.217,-5.615,46.814
-0.124,-0.125,0.836,-19.775,-6.348,47.729
-0.135,-0.137,0.871,-19.958,-5.859,47.363
-0.143,-0.147,0.898,-20.081,-6.287,46.875
-0.144,-0.153,0.929,-17.822,-6.958,46.753
-0.139,-0.156,0.947,-16.785,-6.897,45.532
-0.135,-0.149,0.959,-15.686,-6.714,42.908
-0.136,-0.152,0.949,-16.174,-5.676,39.917
-0.131,-0.154,0.930,-16.907,-5.371,37.354
-0.137,-0.151,0.925,-16.174,-5.249,35.278
-0.143,-0.150,0.924,-16.785,-4.517,33.752
-0.154,-0.146,0.929,-18.066,-3.052,32.349
-0.150,-0.140,0.923,-19.348,-1.709,31.311
-0.143,-0.128,0.905,-19.226,-1.465,29.907
-0.150,-0.118,0.905,-17.395,-3.052,29.724
-0.165,-0.119,0.912,-14.465,-4.333,29.785
-0.175,-0.118,0.907,-14.404,-4.089,29.419
-0.174,-0.117,0.883,-15.991,-4.578,28.625
-0.167,-0.117,0.862,-15.686,-6.714,28.931

1.299,-0.813,1.396,91.492,-17.883,118.347
1.335,-0.918,1.406,90.454,-15.869,103.516
1.437,-0.879,1.371,58.228,-6.531,44.861
1.516,-0.669,1.247,18.677,3.174,-14.038
1.483,-0.490,1.166,11.475,2.075,-51.880
1.433,-0.307,1.092,21.851,-4.639,-84.106
1.368,-0.212,1.007,43.823,-16.174,-103.149
1.208,-0.240,0.985,69.885,-30.640,-118.652
0.999,-0.309,1.015,77.026,-42.175,-134.277
0.693,-0.448,1.063,73.120,-49.133,-152.710
0.391,-0.486,1.127,60.913,-55.420,-178.040
0.225,-0.454,1.085,36.133,-54.688,-192.566
0.097,-0.463,0.963,22.583,-53.345,-196.716
0.010,-0.423,0.846,23.621,-63.477,-201.965
-0.056,-0.373,0.659,25.330,-69.824,-205.444
-0.266,-0.370,0.444,28.442,-72.754,-206.665
-0.647,-0.372,0.271,22.766,-74.341,-212.952
-1.096,-0.312,0.256,14.954,-67.932,-218.445
-1.395,-0.272,0.369,9.705,-47.607,-201.965
-1.615,-0.220,0.558,-12.329,-24.048,-186.096
-1.721,-0.133,0.674,-39.673,-7.874,-176.575
-1.653,-0.082,0.785,-40.161,4.883,-161.255
-1.542,-0.054,0.906,-15.381,10.193,-149.353
-1.459,-0.094,0.979,15.869,20.264,-139.160
-1.427,-0.225,1.008,41.504,36.804,-128.235
-1.383,-0.337,1.027,52.307,47.668,-119.202
-1.314,-0.447,0.969,45.593,59.448,-104.980
-1.252,-0.465,0.979,27.710,76.050,-90.393
-1.128,-0.407,0.972,1.648,79.895,-69.336
-0.967,-0.295,0.955,-14.832,82.092,-47.974
-0.750,-0.163,0.943,-26.367,86.609,-38.269
-0.572,-0.028,0.937,-38.574,89.111,-42.786
-0.436,0.036,0.933,-39.978,87.708,-42.542
-0.334,0.058,0.938,-25.085,69.702,-33.447
-0.278,0.011,0.918,-2.380,57.251,-18.494
-0.264,-0.069,0.905,13.550,42.969,-7.568
-0.284,-0.134,0.920,22.034,24.780,1.526
-0.352,-0.211,0.931,18.372,14.893,7.874
-0.387,-0.239,0.917,11.475,16.418,10.803
-0.386,-0.236,0.871,3.174,21.240,13.550
-0.371,-0.203,0.802,-2.686,22.156,16.602
-0.345,-0.167,0.734,-6.592,20.874,18.799
-0.326,-0.151,0.693,-9.949,14.282,20.142
-0.306,-0.138,0.672,-10.437,4.150,21.118
-0.305,-0.114,0.677,-12.024,-4.883,20.935
-0.321,-0.106,0.704,-15.137,-9.705,20.264
-0.333,-0.111,0.743,-14.832,-13.489,21.912
-0.334,-0.098,0.790,-15.137,-14.648,24.475
-0.316,-0.095,0.810,-17.883,-15.015,25.513
-0.311,-0.075,0.850,-18.921,-16.785,25.146
-0.322,-0.080,0.904,-15.686,-15.686,29.175
-0.322,-0.102,0.949,-13.672,-14.404,31.250
-0.322,-0.118,0.978,-11.902,-13.245,32.043
-0.315,-0.124,0.982,-10.620,-12.085,33.081
-0.309,-0.132,0.981,-8.850,-11.963,34.363
-0.311,-0.139,0.981,-6.714,-12.329,35.767
